40,199,61,103
40,199,61,103
40,199,61,103
40,198,61,103
38,196,62,105
38,195,62,105
39,196,61,103
37,194,62,105
39,195,59,100
39,194,59,100
36,190,62,105
36,188,62,105
37,186,59,100
36,181,61,103
36,176,61,103
35,170,62,105
36,164,62,105
36,156,63,107
37,149,63,107
39,143,62,105
41,136,62,105
43,130,62,105
46,122,63,107
48,115,66,111
53,111,63,107
56,104,66,111
60,97,67,113
66,93,66,111
73,88,67,113
78,82,68,115
87,78,67,113
94,73,68,115
103,67,68,115
112,62,68,115
121,57,70,118
130,55,70,118
140,52,70,118
150,49,70,118
159,44,72,123
168,40,75,128
177,39,74,125
186,37,74,125
195,34,75,128
205,34,74,125
215,37,71,120
221,36,74,125
230,40,71,120
237,41,71,120
243,43,71,120
249,46,68,115
254,48,68,115
258,48,70,118
261,48,72,123
267,53,70,118
271,57,68,115
274,58,70,118
279,63,67,113
282,68,66,111
285,70,67,113
290,76,66,111
295,82,64,109
298,86,66,111
301,89,68,115
305,93,68,115
309,96,70,118
314,102,68,115
318,105,71,120
323,112,70,118
328,117,70,118
333,124,68,115
338,130,68,115
341,134,70,118
346,142,68,115
351,149,67,113
355,158,66,111
357,163,67,113
361,170,66,111
362,175,67,113
365,184,64,109
367,190,63,107
367,195,63,107
368,200,62,105
368,204,62,105
368,208,60,102
366,209,62,105
366,211,60,102
366,211,60,102
365,211,60,102
365,211,59,100
364,208,60,102
365,207,59,100
364,204,60,102
365,202,59,100
366,200,58,99
367,195,59,100
368,192,59,100
367,186,62,105
369,182,62,105
370,178,62,105
370,172,63,107
370,166,64,109
369,159,66,111
368,152,67,113
367,147,67,113
366,142,67,113
364,139,66,111
360,132,68,115
356,129,68,115
351,125,70,118
347,122,70,118
341,120,70,118
336,119,71,120
329,118,71,120
322,118,71,120
316,117,71,120
308,117,71,120
301,116,71,120
294,117,71,120
287,117,71,120
280,118,71,120
272,117,72,123
266,118,72,123
259,116,75,128
253,118,74,125
248,118,75,128
243,120,75,128
236,121,78,133
232,123,78,133
227,125,80,135
224,127,80,135
221,128,82,138
219,130,83,141
217,132,83,141
217,137,82,138
217,140,82,138
218,144,82,138
220,148,82,138
222,151,82,138
226,155,80,135
232,159,77,130
236,159,77,130
241,160,75,128
247,159,75,128
253,161,72,123
259,160,72,123
265,159,72,123
272,161,70,118
278,161,70,118
285,163,67,113
291,163,67,113
298,166,64,109
301,167,66,111
307,168,64,109
312,171,62,105
317,173,60,102
321,176,58,99
324,177,58,99
327,180,57,97
330,183,55,93
334,187,53,89
336,188,53,89
337,189,53,89
339,189,53,89
339,187,54,91
342,187,53,89
344,187,53,89
345,183,55,93
348,183,54,91
351,182,54,91
353,179,56,95
357,176,57,97
360,175,58,99
364,173,58,99
368,172,59,100
372,171,59,100
376,172,58,99
379,170,60,102
382,169,62,105
388,169,60,102
393,170,58,99
396,167,60,102
401,167,58,99
404,166,58,99
409,165,56,95
411,162,58,99
416,161,57,97
420,160,55,93
423,158,56,95
425,153,58,99
429,152,56,95
432,149,57,97
435,149,56,95
438,148,55,93
440,146,56,95
443,148,54,91
444,145,56,95
447,146,55,93
449,147,55,93
451,148,55,93
453,149,55,93
455,151,55,93
457,153,54,91
458,153,54,91
460,153,54,91
461,151,54,91
463,148,52,87
465,144,50,84
464,138,52,87
465,134,51,86
463,129,53,89
460,122,55,93
457,115,57,97
454,110,56,95
450,101,57,97
444,92,59,100
438,86,59,100
429,81,60,102
419,74,63,107
408,69,64,109
397,64,64,109
382,58,66,111
367,50,68,115
351,47,66,111
335,42,67,113
318,39,67,113
299,36,68,115
282,33,68,115
266,32,66,111
251,29,64,109
231,25,67,113
211,23,68,115
193,19,70,118
177,15,72,123
161,12,72,123
149,12,70,118
134,8,72,123
120,7,74,125
108,6,74,125
100,9,71,120
87,9,74,125
80,14,71,120
72,19,68,115
64,21,71,120
54,25,74,125
50,32,71,120
42,37,72,123
38,45,70,118
31,50,72,123
29,58,71,120
23,63,72,123
22,73,70,118
20,82,68,115
17,89,68,115
16,96,67,113
14,104,66,111
14,111,63,107
12,117,63,107
11,124,62,105
11,130,60,102
9,132,63,107
10,137,60,102
9,140,60,102
11,145,58,99
12,150,57,97
13,153,57,97
14,157,56,95
15,161,56,95
17,164,56,95
18,168,56,95
22,174,54,91
24,178,54,91
26,183,54,91
28,187,54,91
30,190,55,93
33,195,54,91
34,198,55,93
39,205,53,89
39,206,55,93
41,210,55,93
44,214,54,91
47,218,52,87
50,222,50,84
53,224,51,86
54,226,50,84
56,229,50,84
58,232,49,82
58,233,51,86
60,236,49,82
62,240,48,81
62,240,49,82
63,241,49,82
63,242,49,82
64,243,49,82
65,245,48,81
66,245,48,81
67,246,48,81
67,245,49,82
68,246,49,82
69,246,49,82
70,247,49,82
71,248,49,82
72,249,49,82
72,249,51,86
72,251,50,84
73,252,50,84
73,253,50,84
73,254,50,84
74,255,50,84
75,258,49,82
75,260,49,82
74,260,50,84
75,263,49,82
74,264,51,86
74,266,51,86
74,269,51,86
73,271,51,86
73,272,51,86
73,273,51,86
72,273,53,89
73,274,51,86
73,274,51,86
73,275,49,82
73,274,51,86
74,276,51,86
75,279,49,82
77,281,49,82
78,282,49,82
80,284,47,79
82,285,45,76
84,286,46,78
86,288,46,78
88,290,44,75
90,290,44,75
92,291,43,73
92,290,43,73
92,290,42,72
93,290,42,72
95,294,41,69
96,294,39,66
97,294,37,64
96,293,39,66
96,293,41,69
97,293,39,66
97,293,41,69
93,290,42,72
87,277,44,75
89,286,46,78
92,289,44,75
93,290,42,72
92,290,42,72
93,290,42,72
93,290,42,72
93,290,42,72
93,290,42,72
93,290,42,72
93,290,42,72
92,290,42,72
91,290,42,72
90,290,43,73
89,289,44,75
88,290,43,73
87,290,42,72
85,289,44,75
83,287,45,76
78,285,45,76
74,282,46,78
71,279,48,81
67,275,50,84
66,272,51,86
64,268,53,89
60,262,55,93
62,258,53,89
61,252,52,87
61,246,51,86
61,239,51,86
60,231,53,89
59,222,53,89
57,212,54,91
56,201,56,95
56,192,56,95
57,183,55,93
57,176,55,93
57,167,57,97
59,160,57,97
60,155,57,97
62,147,59,100
64,142,58,99
69,137,57,97
72,132,58,99
77,126,59,100
83,122,59,100
89,116,60,102
98,113,59,100
107,109,59,100
116,105,60,102
127,104,58,99
138,102,59,100
150,103,58,99
162,104,58,99
175,104,59,100
188,106,58,99
200,107,58,99
213,108,58,99
227,110,57,97
240,112,57,97
251,113,59,100
261,115,60,102
270,118,62,105
282,124,59,100
289,127,60,102
296,133,60,102
304,140,59,100
308,147,58,99
312,153,59,100
314,160,58,99
316,166,57,97
315,171,57,97
314,175,57,97
312,179,56,95
309,183,56,95
306,184,57,97
303,186,57,97
299,189,56,95
296,192,54,91
293,193,54,91
289,193,54,91
287,194,54,91
285,195,53,89
281,195,54,91
280,197,53,89
278,198,53,89
277,200,51,86
275,202,51,86
273,204,51,86
272,206,51,86
270,208,53,89
270,211,51,86
267,212,52,87
266,213,52,87
265,215,53,89
265,217,51,86
264,218,51,86
263,220,51,86
262,222,51,86
260,224,51,86
259,226,50,84
257,227,50,84
256,229,50,84
256,230,51,86
255,232,49,82
253,233,49,82
251,232,50,84
252,234,48,81
251,232,46,78
251,229,47,79
249,224,48,81
248,217,49,82
247,210,49,82
247,202,49,82
246,192,50,84
246,181,51,86
246,171,51,86
246,161,52,87
247,152,52,87
248,144,52,87
249,135,54,91
251,130,54,91
253,123,55,93
256,118,57,97
258,116,58,99
262,113,59,100
266,112,59,100
269,109,62,105
273,107,64,109
278,107,64,109
281,106,67,113
285,106,68,115
288,107,71,120
292,111,71,120
295,116,71,120
294,119,74,125
293,123,77,130
289,128,80,135
285,134,83,141
281,144,83,141
275,156,83,141
267,170,83,141
259,183,83,141
250,195,83,141
240,208,82,138
233,220,78,133
221,225,82,138
212,232,80,135
203,235,82,138
198,238,78,133
195,237,75,128
191,235,72,123
188,227,74,125
186,216,75,128
185,208,74,125
185,195,77,130
186,186,77,130
188,178,74,125
191,167,77,130
195,160,77,130
197,153,80,135
204,148,78,133
209,140,82,138
216,137,82,138
224,135,82,138
232,131,85,144
242,130,85,144
252,132,85,144
266,137,82,138
277,138,83,141
290,144,82,138
306,152,78,133
317,155,82,138
333,163,78,133
347,168,78,133
361,171,77,130
374,172,77,130
386,171,78,133
399,171,77,130
410,173,74,125
422,174,71,120
429,174,68,115
436,172,66,111
440,168,66,111
442,163,66,111
441,159,66,111
437,152,67,113
430,146,70,118
422,143,68,115
411,138,70,118
396,132,72,123
381,131,70,118
363,127,71,120
341,123,72,123
318,119,75,128
292,116,78,133
264,114,80,135
236,114,80,135
203,115,83,141
171,117,87,147
137,118,90,153
108,122,88,150
78,123,90,153
52,124,88,150
24,120,92,156
-2,115,96,162
-25,110,98,165
-42,103,102,172
-49,100,100,168
-51,97,98,165
-53,88,100,168
-53,77,102,172
-48,68,102,172
-36,62,98,165
-17,55,94,159
0,49,90,153
18,43,87,147
35,36,83,141
53,31,80,135
70,28,77,130
85,22,78,133
103,18,75,128
121,17,72,123
137,17,71,120
152,14,72,123
167,14,72,123
184,17,70,118
199,18,70,118
214,19,70,118
228,23,68,115
242,27,66,111
254,31,64,109
264,37,64,109
272,42,66,111
279,48,67,113
286,56,67,113
292,67,64,109
294,75,67,113
298,88,64,109
299,98,63,107
300,108,63,107
299,118,64,109
298,128,63,107
297,137,63,107
295,146,62,105
293,153,63,107
291,160,64,109
291,169,62,105
290,177,62,105
289,185,62,105
289,190,63,107
291,199,60,102
292,205,60,102
293,209,60,102
295,212,60,102
296,213,62,105
298,211,63,107
301,212,62,105
306,211,59,100
308,206,60,102
309,202,62,105
311,197,64,109
313,193,66,111
315,190,66,111
316,187,67,113
317,183,70,118
318,183,70,118
319,183,70,118
319,184,70,118
318,186,71,120
317,189,71,120
312,189,74,125
308,189,75,128
303,190,77,130
296,191,78,133
287,191,80,135
278,191,82,138
267,190,85,144
256,192,87,147
243,192,90,153
232,193,90,153
220,195,90,153
210,199,87,147
198,200,85,144
185,200,88,150
176,204,87,147
167,208,85,144
158,210,85,144
151,210,85,144
144,211,85,144
139,213,85,144
135,216,85,144
134,224,82,138
133,230,82,138
134,239,78,133
135,244,78,133
138,251,77,130
139,256,77,130
141,260,78,133
145,265,75,128
149,269,75,128
152,272,75,128
155,274,74,125
159,273,75,128
162,275,74,125
165,275,74,125
169,274,74,125
172,271,75,128
175,271,74,125
179,270,74,125
183,268,75,128
187,269,75,128
192,268,77,130
196,265,78,133
203,263,78,133
210,262,78,133
217,260,80,135
226,257,80,135
236,254,82,138
246,252,83,141
258,252,82,138
269,249,85,144
283,252,82,138
298,254,80,135
313,257,78,133
326,257,80,135
342,259,78,133
358,260,77,130
372,258,77,130
387,255,77,130
401,252,77,130
414,248,75,128
427,247,74,125
440,244,72,123
451,242,70,118
461,239,71,120
469,237,70,118
477,235,67,113
482,230,67,113
485,222,70,118
485,213,72,123
487,206,71,120
483,195,72,123
480,186,70,118
472,171,72,123
464,157,71,120
451,140,74,125
437,123,77,130
419,104,80,135
401,86,82,138
379,67,85,144
357,50,88,150
332,34,90,153
307,20,94,159
283,12,96,162
259,7,98,165
234,5,100,168
212,5,100,168
189,7,102,172
171,15,100,168
156,27,96,162
140,38,98,165
128,52,100,168
119,71,98,165
115,90,94,159
112,105,94,159
115,121,90,153
117,133,90,153
119,143,92,156
126,157,90,153
134,167,88,150
143,176,85,144
153,186,82,138
162,190,83,141
173,198,80,135
185,203,78,133
197,208,78,133
210,214,75,128
224,218,72,123
238,220,71,120
248,219,72,123
262,219,71,120
275,217,71,120
287,217,70,118
299,216,71,120
309,216,70,118
319,214,70,118
329,212,70,118
337,211,68,115
345,208,67,113
348,203,70,118
352,200,70,118
355,198,67,113
353,193,70,118
352,191,68,115
350,191,66,111
347,190,64,109
341,188,64,109
336,188,62,105
329,187,62,105
321,186,62,105
314,184,62,105
308,183,59,100
302,182,57,97
294,176,59,100
287,171,59,100
280,167,58,99
274,162,58,99
267,156,58,99
261,149,59,100
255,143,60,102
248,136,62,105
242,131,62,105
235,125,63,107
229,121,63,107
222,118,62,105
214,113,64,109
205,108,66,111
197,103,67,113
187,97,70,118
179,96,68,115
169,91,70,118
159,88,71,120
149,86,71,120
136,85,72,123
125,87,72,123
114,88,75,128
102,95,77,130
91,101,77,130
79,106,78,133
69,110,78,133
60,115,75,128
50,118,77,130
37,118,80,135
31,122,77,130
21,125,78,133
15,130,77,130
9,134,75,128
3,138,77,130
-1,143,78,133
-2,149,77,130
-3,158,74,125
-3,165,74,125
1,176,71,120
3,183,71,120
7,192,68,115
10,198,68,115
15,205,66,111
21,211,63,107
26,217,60,102
31,221,58,99
34,222,60,102
38,225,58,99
42,227,56,95
46,228,55,93
50,231,53,89
51,229,54,91
53,228,54,91
54,228,54,91
56,229,53,89
56,230,53,89
56,232,52,87
56,233,53,89
55,235,53,89
54,235,54,91
52,236,55,93
52,240,53,89
49,240,55,93
47,241,57,97
46,243,55,93
43,242,57,97
40,240,58,99
38,239,58,99
36,238,58,99
35,238,56,95
33,237,57,97
32,237,57,97
30,237,57,97
29,237,57,97
27,237,57,97
25,237,56,95
24,236,57,97
22,237,56,95
21,236,56,95
19,235,56,95
17,234,56,95
16,236,54,91
15,236,54,91
12,235,55,93
10,233,57,97
9,234,57,97
7,235,56,95
6,237,56,95
5,238,56,95
5,240,55,93
4,241,57,97
4,242,57,97
2,243,58,99
3,244,59,100
2,245,60,102
3,248,60,102
2,247,63,107
3,248,64,109
5,250,63,107
6,252,64,109
8,254,63,107
9,256,63,107
11,259,62,105
11,259,63,107
13,261,63,107
14,262,63,107
13,262,66,111
13,262,66,111
15,264,64,109
14,264,66,111
14,264,67,113
15,266,66,111
15,266,67,113
15,269,67,113
16,272,66,111
15,271,68,115
17,273,67,113
17,273,68,115
17,272,71,120
18,273,70,118
20,276,68,115
20,275,70,118
20,274,72,123
21,274,74,125
22,273,74,125
24,273,74,125
26,273,74,125
28,273,74,125
30,272,74,125
33,273,72,123
34,271,74,125
37,268,75,128
39,267,75,128
41,265,77,130
44,264,77,130
47,263,75,128
49,260,75,128
52,257,77,130
55,255,77,130
58,253,77,130
61,251,77,130
64,249,77,130
67,247,78,133
71,246,77,130
73,243,80,135
79,244,78,133
81,241,82,138
84,238,85,144
91,238,83,141
94,236,87,147
99,234,88,150
105,233,88,150
113,236,85,144
119,236,87,147
125,236,87,147
133,236,85,144
140,236,85,144
148,238,82,138
156,239,78,133
163,238,77,130
168,235,77,130
174,234,74,125
179,231,74,125
183,226,77,130
187,222,78,133
193,219,77,130
196,215,78,133
201,213,78,133
207,211,77,130
212,208,77,130
217,206,77,130
220,203,78,133
225,201,78,133
231,201,75,128
236,200,75,128
239,199,77,130
243,199,75,128
246,198,75,128
249,199,74,125
251,197,75,128
252,197,75,128
254,198,72,123
255,197,72,123
255,197,72,123
256,197,71,120
256,196,71,120
254,193,72,123
