1
221.2476,323.2245,172.0590,311.7471,197.1675,204.1391,246.3562,215.6164
185.0000,324.0000,185.0000,209.0000,233.0000,209.0000,233.0000,324.0000
222.7765,324.8752,174.6687,317.5862,191.0871,209.2253,239.1948,216.5144
227.5608,298.3453,181.6879,295.9309,186.1243,211.6382,231.9972,214.0525
225.8483,299.8207,179.5034,295.9586,186.2552,214.9379,232.6000,218.8000
219.9513,318.3081,170.7054,310.5324,185.5270,216.6622,234.7730,224.4379
221.9090,330.3347,170.9640,326.8612,177.9172,224.8807,228.8622,228.3542
221.4292,324.4193,170.8400,321.1200,176.9148,227.9727,227.5040,231.2720
179.0000,332.0000,179.0000,232.0000,224.0000,232.0000,224.0000,332.0000
182.0000,335.0000,182.0000,231.0000,225.0000,231.0000,225.0000,335.0000
226.4523,335.8585,182.1446,333.3969,187.9169,229.4954,232.2246,231.9569
216.4865,339.0811,169.7838,331.2973,187.5135,224.9189,234.2162,232.7027
216.6999,337.9709,166.7774,330.7358,182.4347,222.7007,232.3571,229.9358
216.3930,338.9540,167.1801,332.6039,181.4647,221.8987,230.6776,228.2488
213.5769,340.1154,163.9615,330.1923,186.7692,216.1539,236.3846,226.0770
214.1891,339.7192,161.5816,325.1060,192.7851,212.7737,245.3925,227.3868
225.1910,329.8438,171.9238,322.3414,186.7536,217.0497,240.0208,224.5522
228.6285,333.7974,168.9933,319.9287,196.5818,201.2981,256.2170,215.1667
208.7687,329.0054,170.8179,230.0032,237.1100,204.5912,275.0608,303.5934
240.5649,334.7760,180.2986,326.5203,196.7528,206.4045,257.0192,214.6602
248.6946,329.5623,183.8757,322.2440,196.6566,209.0419,261.4755,216.3601
247.3455,335.2063,189.9721,329.6896,201.5405,209.3789,258.9139,214.8955
201.3380,328.1109,196.6447,215.4731,255.4177,213.0243,260.1109,325.6620
216.7220,337.0235,201.0038,225.2495,251.8116,218.1046,267.5298,329.8786
271.8412,345.0647,208.2941,340.1765,217.2470,223.7882,280.7941,228.6765
260.2347,344.0310,214.3167,341.5264,220.6480,225.4536,266.5659,227.9582
259.0832,346.0568,212.6734,339.7282,228.6349,222.6775,275.0446,229.0061
270.2000,344.6000,217.4200,337.0600,233.8600,221.9800,286.6400,229.5200
278.0102,330.8578,222.7919,326.9137,230.2386,222.6599,285.4568,226.6041
287.9276,323.2310,231.7690,319.9276,237.5690,221.3276,293.7276,224.6311
292.7826,338.3035,236.5727,337.2226,238.7812,222.3804,294.9911,223.4614
294.4865,334.7076,237.2944,328.4685,249.1689,219.6184,306.3610,225.8576
296.4216,337.9763,241.0690,332.6196,252.0948,218.6866,307.4474,224.0433
250.0000,335.0000,250.0000,221.0000,307.0000,221.0000,307.0000,335.0000
262.2769,339.2154,248.0308,225.2462,306.0000,218.0000,320.2462,331.9693
258.8662,339.5154,256.0172,222.7069,315.8109,221.2485,318.6599,338.0571
260.9211,341.1420,254.9994,226.6552,318.7943,223.3554,324.7160,337.8423
276.1680,341.5702,256.8286,232.7860,314.3873,222.5534,333.7267,331.3375
274.7898,343.2237,247.3494,241.9054,312.0999,224.3688,339.5403,325.6871
277.0696,337.1318,274.7221,231.4951,332.0494,230.2211,334.3969,335.8578
278.2000,336.4000,272.2069,234.5172,330.5345,231.0862,336.5276,332.9690
282.0859,336.1232,279.9475,233.4803,334.6738,232.3401,336.8121,334.9831
283.7112,335.5017,279.2046,234.1020,333.8965,231.6713,338.4032,333.0710
292.6916,334.9745,272.4358,239.4833,324.5457,228.4297,344.8014,323.9209
282.8683,331.4935,281.1302,232.4188,334.4120,231.4840,336.1502,330.5588
284.3790,335.5811,279.2095,232.1895,328.7855,229.7107,333.9551,333.1023
280.0000,333.0000,280.0000,230.0000,331.0000,230.0000,331.0000,333.0000
303.8763,339.7217,262.6804,247.0309,309.6289,226.1650,350.8248,318.8557
309.4001,344.8000,261.0000,248.0000,307.0000,225.0000,355.4001,321.8000
316.8247,345.6862,261.9915,247.5636,305.6289,223.1780,360.4622,321.3006
320.7869,343.6996,256.7357,253.4457,300.7578,222.2042,364.8090,312.4581
319.7038,338.9552,256.1382,252.6877,300.1759,220.2388,363.7415,306.5063
317.5376,339.0058,254.5896,253.1676,299.3729,220.3266,362.3209,306.1648
314.1176,342.5294,256.1471,245.9118,302.1765,218.2941,360.1471,314.9118
311.6091,341.7996,256.7208,243.4582,302.5934,217.8549,357.4816,316.1964
303.4406,336.3841,255.2257,242.2503,298.5829,220.0429,346.7979,314.1768
292.4124,334.0722,255.3247,237.6444,297.2732,221.5103,334.3608,317.9382
290.1796,337.0801,253.4974,241.2988,304.3198,221.8350,341.0020,317.6163
283.4000,341.8000,239.0000,253.0000,293.4000,225.8000,337.8000,314.6000
274.2000,342.6000,241.8000,245.4000,297.6000,226.8000,330.0000,324.0000
269.2435,342.4665,236.1409,247.0532,293.5565,227.1335,326.6591,322.5468
259.3049,340.7439,247.8781,237.9024,311.7561,230.8049,323.1829,333.6464
257.7054,342.5148,241.3947,238.1258,303.9304,228.3546,320.2412,332.7436
264.7788,345.2753,224.3377,246.0106,277.3212,224.4247,317.7624,323.6894
